Freq,Phi
1,1.25881692367412e+002
1.2589254118,1.19882131251766e+002
1.5848931925,1.14533324526780e+002
1.995262315,1.09928296578790e+002
2.5118864315,1.06065644293286e+002
3.1622776602,1.02884946182407e+002
3.9810717055,1.00298536981786e+002
5.0118723363,9.82128531978229e+001
6.3095734448,9.65400721903425e+001
7.9432823472,9.52031345979482e+001
10,9.41369906309851e+001
12.5892541179,9.32879843735502e+001
15.8489319246,9.26124795400971e+001
19.9526231497,9.20752971310610e+001
25.1188643151,9.16482294962663e+001
31.6227766017,9.13087342435686e+001
39.8107170553,9.10388326382971e+001
50.1187233627,9.08242019092303e+001
63.095734448,9.06534374978095e+001
79.4328234724,9.05174582674656e+001
100,9.04090291935785e+001
125.8925411794,9.03223792298856e+001
158.4893192461,9.02528955658404e+001
199.5262314969,9.01968787796713e+001
251.188643151,9.01513462459962e+001
316.2277660168,9.01138735348141e+001
398.1071705535,9.00824654722500e+001
501.1872336273,9.00554500811725e+001
630.9573444802,9.00313898483268e+001
794.3282347243,9.00090057443171e+001
1000,8.99871102338355e+001
1258.9254117942,8.99645462639198e+001
1584.8931924611,8.99401300801134e+001
1995.2623149689,8.99125970024906e+001
2511.8864315096,8.98805515753601e+001
3162.2776601684,8.98424278876216e+001
3981.071705535,8.97964744068643e+001
5011.8723362727,8.97407940916090e+001
6309.573444802,8.96735010403656e+001
7943.2823472428,8.95931083185567e+001
10000,8.94993455551398e+001
12589.2541179417,8.93947094040279e+001
15848.9319246112,8.92870998796588e+001
19952.6231496889,8.91936585683006e+001
25118.8643150959,8.91449515618055e+001
31622.7766016839,8.91866098764082e+001
39810.7170553498,8.93735752397493e+001
50118.7233627274,8.97539457076304e+001
63095.7344480195,9.03475238948741e+001
79432.8234724284,9.11308340758644e+001
100000,9.20330569635242e+001
