Freq,V(n002)
1,2.93389197748203e+001
1.2589254118,2.79276690999017e+001
1.5848931925,2.63449186280842e+001
1.995262315,2.46304295278274e+001
2.5118864315,2.28207375552637e+001
3.1622776602,2.09452515326950e+001
3.9810717055,1.90256919954109e+001
5.0118723363,1.70772239965884e+001
6.3095734448,1.51100559810879e+001
7.9432823472,1.31309000544057e+001
10,1.11441035165710e+001
12.5892541179,9.15245516548553e+000
15.8489319246,7.15773317537754e+000
19.9526231497,5.16106699515621e+000
25.1188643151,3.16317231379033e+000
31.6227766017,1.16450200283883e+000
39.8107170553,-8.34657546411798e-001
50.1187233627,-2.83412517034401e+000
63.095734448,-4.83378605412683e+000
79.4328234724,-6.83356703870290e+000
100,-8.83342086515808e+000
125.8925411794,-1.08333159881241e+001
158.4893192461,-1.28332297723979e+001
199.5262314969,-1.48331436094507e+001
251.188643151,-1.68330389018429e+001
316.2277660168,-1.88328930497561e+001
398.1071705535,-2.08326745740614e+001
501.1872336273,-2.28323363243738e+001
630.9573444802,-2.48318053086310e+001
794.3282347243,-2.68309669552876e+001
1000,-2.88296404270835e+001
1258.9254117942,-3.08275396979225e+001
1584.8931924611,-3.28242120917938e+001
1995.2623149689,-3.48189412692318e+001
2511.8864315096,-3.68105943514190e+001
3162.2776601684,-3.87973817585899e+001
3981.071705535,-4.07764818451260e+001
5011.8723362727,-4.27434590216261e+001
6309.573444802,-4.46913736270469e+001
7943.2823472428,-4.66094492790901e+001
10000,-4.84811474919880e+001
12589.2541179417,-5.02815498743810e+001
15848.9319246112,-5.19741717573285e+001
19952.6231496889,-5.35078991169668e+001
25118.8643150959,-5.48157834569501e+001
31622.7766016839,-5.58186333994358e+001
39810.7170553498,-5.64362976292775e+001
50118.7233627274,-5.66060208392101e+001
63095.7344480195,-5.63004772882762e+001
79432.8234724284,-5.55343143801555e+001
100000,-5.43541923478274e+001 
