Frequenz	dB Phi
1.00000000000000e+000	1.47544437226966e+001 1.79999656597745e+002
1.25892541179417e+000	1.47544437226582e+001 1.79999567682174e+002
1.58489319246111e+000	1.47544437225973e+001 1.79999455744103e+002
1.99526231496888e+000	1.47544437225009e+001 1.79999314822421e+002
2.51188643150958e+000	1.47544437223479e+001 1.79999137412534e+002
3.16227766016838e+000	1.47544437221055e+001 1.79998914066719e+002
3.98107170553497e+000	1.47544437217214e+001 1.79998632890998e+002
5.01187233627272e+000	1.47544437211126e+001 1.79998278911736e+002
6.30957344480194e+000	1.47544437201476e+001 1.79997833278249e+002
7.94328234724282e+000	1.47544437186183e+001 1.79997272258927e+002
1.00000000000000e+001	1.47544437161945e+001 1.79996565977447e+002
1.25892541179417e+001	1.47544437123531e+001 1.79995676821743e+002
1.58489319246111e+001	1.47544437062648e+001 1.79994557441032e+002
1.99526231496888e+001	1.47544436966155e+001 1.79993148224210e+002
2.51188643150958e+001	1.47544436813224e+001 1.79991374125342e+002
3.16227766016838e+001	1.47544436570844e+001 1.79989140667194e+002
3.98107170553498e+001	1.47544436186699e+001 1.79986328909975e+002
5.01187233627273e+001	1.47544435577869e+001 1.79982789117359e+002
6.30957344480194e+001	1.47544434612940e+001 1.79978332782481e+002
7.94328234724283e+001	1.47544433083629e+001 1.79972722589256e+002
1.00000000000000e+002	1.47544430659834e+001 1.79965659774435e+002
1.25892541179417e+002	1.47544426818379e+001 1.79956768217367e+002
1.58489319246112e+002	1.47544420730081e+001 1.79945574410202e+002
1.99526231496888e+002	1.47544411080777e+001 1.79931482241861e+002
2.51188643150958e+002	1.47544395787654e+001 1.79913741252941e+002
3.16227766016838e+002	1.47544371549672e+001 1.79891406670980e+002
3.98107170553498e+002	1.47544333135019e+001 1.79863289097833e+002
5.01187233627273e+002	1.47544272251799e+001 1.79827891169770e+002
6.30957344480194e+002	1.47544175758149e+001 1.79783327817192e+002
7.94328234724283e+002	1.47544022825393e+001 1.79727225877375e+002
1.00000000000000e+003	1.47543780441738e+001 1.79656597714063e+002
1.25892541179417e+003	1.47543396285582e+001 1.79567682113269e+002
1.58489319246112e+003	1.47542787429187e+001 1.79455743981600e+002
1.99526231496888e+003	1.47541822431915e+001 1.79314822178686e+002
2.51188643150959e+003	1.47540292951730e+001 1.79137412051755e+002
3.16227766016839e+003	1.47537868731838e+001 1.78914065760119e+002
3.98107170553498e+003	1.47534026207595e+001 1.78632889094080e+002
5.01187233627273e+003	1.47527935226295e+001 1.78278907971708e+002
6.30957344480195e+003	1.47518279184740e+001 1.77833270843722e+002
7.94328234724283e+003	1.47502969151675e+001 1.77272244487505e+002
1.00000000000000e+004	1.47478688745460e+001 1.76565949695595e+002
1.25892541179417e+004	1.47440167736584e+001 1.75676769719173e+002
1.58489319246112e+004	1.47379018187698e+001 1.74557347791193e+002
1.99526231496889e+004	1.47281858833741e+001 1.73148071442615e+002
2.51188643150959e+004	1.47127266929918e+001 1.71373925147770e+002
3.16227766016839e+004	1.46880767212780e+001 1.69140595578699e+002
3.98107170553498e+004	1.46486475107163e+001 1.66329788766281e+002
5.01187233627274e+004	1.45852954155674e+001 1.62794027014680e+002
6.30957344480195e+004	1.44829088127273e+001 1.58352190204479e+002
7.94328234724284e+004	1.43163494424191e+001 1.52789900359681e+002
1.00000000000000e+005	1.40440842207616e+001 1.45875824909836e+002
1.25892541179417e+005	1.36001171266957e+001 1.37418082378015e+002
1.58489319246112e+005	1.28899071266500e+001 1.27394667680753e+002
1.99526231496889e+005	1.18055545899083e+001 1.16149921091737e+002
2.51188643150959e+005	1.02746789885787e+001 1.04495293797466e+002
3.16227766016839e+005	8.31816748362410e+000 9.34531205532546e+001
3.98107170553499e+005	6.05243884633896e+000 8.37200572148815e+001
5.01187233627274e+005	3.62482993076121e+000 7.53457084570220e+001
6.30957344480196e+005	1.14655808444677e+000 6.78480273366281e+001
7.94328234724285e+005	-1.33283720704884e+000 6.05179076698682e+001
1.00000000000000e+006	-3.81849534979855e+000 5.26604796115960e+001
1.25892541179417e+006	-6.35332395755374e+000 4.37170872528063e+001
1.58489319246112e+006	-9.00352818778690e+000 3.33173818896732e+001
1.99526231496889e+006	-1.18478910143483e+001 2.13194767249844e+001
2.51188643150959e+006	-1.49671478114028e+001 7.86483815049386e+000
3.16227766016839e+006	-1.84309814610240e+001 -6.55739559413583e+000
3.98107170553499e+006	-2.22849681745957e+001 -2.10472272944863e+001
5.01187233627275e+006	-2.65416351793538e+001 -3.42035329091882e+001
6.30957344480196e+006	-3.11649561003447e+001 -4.39053914801238e+001
7.94328234724285e+006	-3.59744963910578e+001 -4.69006373795940e+001
1.00000000000000e+007	-4.02795345127269e+001 -3.94557783759246e+001
